title,album,attribution,members,release_date,bpm,duration
Future Parade,Anime Season 2,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2022.07.27,144,4:36
Level Oops! Adventures,Anime Season 2,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2022.07.27,180,3:31
An Eternal Moment,AllStars Singles,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2022.10.12,93,4:57
OUR PIECES!!!,AllStars Singles,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2022.10.12,176,4:33
Hurray Hurray (12 Members Ver.),AllStars Singles,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2022.10.12,150,4:33
Wachu Gonna Do,Nijiyon,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2023.02.01,160,3:30
DON'T FORGET THE SPARKLE,AllStars Singles,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2023.07.07,175,4:16
Sugar Sugar Yummy Yummy Parfait,AllStars Singles,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2023.07.07,164,3:50
Feel Alive,OVA,R3BIRTH,"Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2023.06.28,76,3:19
Go Our Way!,OVA,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2023.06.28,160,2:45
